cuaderna,posicion_m,posicion_desde_proa_m,tramo_m,zona
0,0.0,105.2,0.0,Pique de popa
1,0.6,104.6,0.6,Pique de popa
2,1.2,104.0,0.6,Pique de popa
3,1.8,103.4,0.6,Pique de popa
4,2.4,102.8,0.6,Pique de popa
5,3.0,102.2,0.6,Pique de popa
6,3.6,101.6,0.6,Pique de popa
7,4.2,101.0,0.6,Pique de popa
8,4.8,100.4,0.6,Pique de popa
9,5.4,99.8,0.6,Pique de popa
10,6.0,99.2,0.6,Pique de popa
11,6.6,98.6,0.6,Pique de popa
12,7.2,98.0,0.6,Pique de popa
13,7.8,97.4,0.6,Pique de popa
14,8.2,97.0,0.4,Pique de popa
15,8.9,96.3,0.7,Cámara de máquinas
16,9.6,95.6,0.7,Cámara de máquinas
17,10.3,94.9,0.7,Cámara de máquinas
18,11.0,94.2,0.7,Cámara de máquinas
19,11.7,93.5,0.7,Cámara de máquinas
20,12.4,92.8,0.7,Cámara de máquinas
21,13.1,92.1,0.7,Cámara de máquinas
22,13.8,91.4,0.7,Cámara de máquinas
23,14.5,90.7,0.7,Cámara de máquinas
24,15.2,90.0,0.7,Cámara de máquinas
25,15.9,89.3,0.7,Cámara de máquinas
26,16.6,88.6,0.7,Cámara de máquinas
27,17.3,87.9,0.7,Cámara de máquinas
28,18.0,87.2,0.7,Cámara de máquinas
29,18.7,86.5,0.7,Cámara de máquinas
30,19.4,85.8,0.7,Cámara de máquinas
31,20.1,85.1,0.7,Cámara de máquinas
32,20.8,84.4,0.7,Cámara de máquinas
33,21.5,83.7,0.7,Cámara de máquinas
34,22.2,83.0,0.7,Cámara de máquinas
35,22.9,82.3,0.7,Cámara de máquinas
36,23.6,81.6,0.7,Bodega 3
37,24.3,80.9,0.7,Bodega 3
38,25.0,80.2,0.7,Bodega 3
39,25.7,79.5,0.7,Bodega 3
40,26.4,78.8,0.7,Bodega 3
41,27.1,78.1,0.7,Bodega 3
42,27.8,77.4,0.7,Bodega 3
43,28.5,76.7,0.7,Bodega 3
44,29.2,76.0,0.7,Bodega 3
45,29.9,75.3,0.7,Bodega 3
46,30.6,74.6,0.7,Bodega 3
47,31.3,73.9,0.7,Bodega 3
48,32.0,73.2,0.7,Bodega 3
49,32.7,72.5,0.7,Bodega 3
50,33.4,71.8,0.7,Bodega 3
51,34.1,71.1,0.7,Bodega 3
52,34.8,70.4,0.7,Bodega 3
53,35.5,69.7,0.7,Bodega 3
54,36.2,69.0,0.7,Bodega 3
55,36.9,68.3,0.7,Bodega 3
56,37.6,67.6,0.7,Bodega 3
57,38.3,66.9,0.7,Bodega 3
58,39.0,66.2,0.7,Bodega 3
59,39.7,65.5,0.7,Bodega 3
60,40.4,64.8,0.7,Bodega 3
61,41.1,64.1,0.7,Bodega 3
62,41.8,63.4,0.7,Bodega 3
63,42.5,62.7,0.7,Bodega 3
64,43.2,62.0,0.7,Bodega 3
65,43.9,61.3,0.7,Bodega 3
66,44.6,60.6,0.7,Bodega 3
