frame,x_m,segmento,espac_m,x_ap_m,frame_ap
162,105.2,Pique de popa,0.6,0.0,0
161,104.47,Pique de popa,0.6,0.730000000000004,1
160,103.87,Pique de popa,0.6,1.3299999999999983,2
159,103.27,Pique de popa,0.6,1.9300000000000068,3
158,102.67,Pique de popa,0.6,2.530000000000001,4
157,102.07,Pique de popa,0.6,3.1300000000000097,5
156,101.47,Pique de popa,0.6,3.730000000000004,6
155,100.87,Pique de popa,0.6,4.329999999999998,7
154,100.27,Pique de popa,0.6,4.930000000000007,8
153,99.67,Pique de popa,0.6,5.530000000000001,9
152,99.07,Pique de popa,0.6,6.13000000000001,10
151,99.07,Cámara de máquinas,0.6,6.13000000000001,11
150,98.23,Cámara de máquinas,0.6,6.969999999999999,12
149,97.63,Cámara de máquinas,0.6,7.570000000000007,13
148,97.03,Cámara de máquinas,0.6,8.170000000000002,14
147,96.43,Cámara de máquinas,0.6,8.769999999999996,15
146,95.83,Cámara de máquinas,0.6,9.370000000000005,16
145,95.23,Cámara de máquinas,0.6,9.969999999999999,17
144,94.63,Cámara de máquinas,0.6,10.570000000000007,18
143,94.03,Cámara de máquinas,0.6,11.170000000000002,19
142,93.43,Cámara de máquinas,0.6,11.769999999999996,20
141,92.83,Cámara de máquinas,0.6,12.370000000000005,21
140,92.23,Cámara de máquinas,0.6,12.969999999999999,22
139,91.63,Cámara de máquinas,0.6,13.570000000000007,23
138,91.03,Cámara de máquinas,0.6,14.170000000000002,24
137,90.43,Cámara de máquinas,0.6,14.769999999999996,25
136,89.83,Cámara de máquinas,0.6,15.370000000000005,26
135,89.23,Cámara de máquinas,0.6,15.969999999999999,27
134,88.63,Cámara de máquinas,0.6,16.570000000000007,28
133,88.03,Cámara de máquinas,0.6,17.17,29
132,87.43,Cámara de máquinas,0.6,17.769999999999996,30
131,86.83,Cámara de máquinas,0.6,18.370000000000005,31
130,86.23,Cámara de máquinas,0.6,18.97,32
129,85.63,Cámara de máquinas,0.6,19.570000000000007,33
128,85.03,Cámara de máquinas,0.6,20.17,34
127,84.43,Cámara de máquinas,0.6,20.769999999999996,35
126,83.83,Cámara de máquinas,0.6,21.370000000000005,36
125,83.23,Cámara de máquinas,0.6,21.97,37
124,82.63,Cámara de máquinas,0.6,22.570000000000007,38
123,82.03,Cámara de máquinas,0.6,23.17,39
122,81.43,Cámara de máquinas,0.6,23.769999999999996,40
121,80.83,Cámara de máquinas,0.6,24.370000000000005,41
120,80.23,Cámara de máquinas,0.6,24.97,42
119,79.63,Cámara de máquinas,0.6,25.570000000000007,43
118,79.03,Cámara de máquinas,0.6,26.17,44
117,78.43,Cámara de máquinas,0.6,26.769999999999996,45
116,77.83,Cámara de máquinas,0.6,27.370000000000005,46
115,77.23,Cámara de máquinas,0.6,27.97,47
114,76.63,Cámara de máquinas,0.6,28.570000000000007,48
113,76.03,Cámara de máquinas,0.6,29.17,49
112,75.43,Cámara de máquinas,0.6,29.769999999999996,50
111,74.83,Cámara de máquinas,0.6,30.370000000000005,51
110,74.23,Cámara de máquinas,0.6,30.97,52
109,73.63,Cámara de máquinas,0.6,31.570000000000007,53
108,73.03,Cámara de máquinas,0.6,32.17,54
107,73.03,Área de carga,0.7,32.17,55
106,72.46,Área de carga,0.7,32.74000000000001,56
105,71.76,Área de carga,0.7,33.44,57
104,71.06,Área de carga,0.7,34.14,58
103,70.36,Área de carga,0.7,34.84,59
102,69.66,Área de carga,0.7,35.540000000000006,60
101,68.96,Área de carga,0.7,36.24000000000001,61
100,68.26,Área de carga,0.7,36.94,62
99,67.56,Área de carga,0.7,37.64,63
98,66.86,Área de carga,0.7,38.34,64
97,66.16,Área de carga,0.7,39.040000000000006,65
96,65.46,Área de carga,0.7,39.74000000000001,66
95,64.76,Área de carga,0.7,40.44,67
94,64.06,Área de carga,0.7,41.14,68
93,63.36,Área de carga,0.7,41.84,69
92,62.66,Área de carga,0.7,42.540000000000006,70
91,61.96,Área de carga,0.7,43.24,71
90,61.26,Área de carga,0.7,43.940000000000005,72
89,60.56,Área de carga,0.7,44.64,73
88,59.86,Área de carga,0.7,45.34,74
87,59.16,Área de carga,0.7,46.040000000000006,75
86,58.46,Área de carga,0.7,46.74,76
85,57.76,Área de carga,0.7,47.440000000000005,77
84,57.06,Área de carga,0.7,48.14,78
83,56.36,Área de carga,0.7,48.84,79
