L,B,T,Cb,displacement,gz_max,feasible,pareto
95.0,14.0,5.0,0.55,,0.16849999999999998,True,True
95.0,14.0,5.0,0.65,,0.1435,True,True
95.0,14.0,6.0,0.55,,0.15916666666666665,True,True
95.0,14.0,6.0,0.65,,0.13416666666666666,True,True
95.0,16.0,5.0,0.55,,0.1765,True,True
95.0,16.0,5.0,0.65,,0.1515,True,True
95.0,16.0,6.0,0.55,,0.16583333333333333,True,True
95.0,16.0,6.0,0.65,,0.1408333333333333,True,True
100.0,14.0,5.0,0.55,,0.16849999999999998,True,True
100.0,14.0,5.0,0.65,,0.1435,True,True
100.0,14.0,6.0,0.55,,0.15916666666666665,True,True
100.0,14.0,6.0,0.65,,0.13416666666666666,True,True
100.0,16.0,5.0,0.55,,0.1765,True,True
100.0,16.0,5.0,0.65,,0.1515,True,True
100.0,16.0,6.0,0.55,,0.16583333333333333,True,True
100.0,16.0,6.0,0.65,,0.1408333333333333,True,True
